;;;;;;;;;;HSML100 Index;HSML100 Index
;;;;;;;;;;H-FIN Index;H-FIN Index
;;;;;;;;;;HKSPGEM Index;HKSPGEM Index
;;;;;;;;;;SAXCME Index;SAXCME Index
;;;;;;;;;;HSFML25 Index;HSFML25 Index
;;;;;;;;;;HKSPLC25 Index;HKSPLC25 Index
;;;;;;;;;;HSI Index;HSI Index
;;;;;;;;;;HSCEI Index;HSCEI Index
;;;;;;;;;;HSHK35 Index;HSHK35 Index
;;;;;;;;;;HSCCI Index;HSCCI Index
;;;;;;;;;;HSCI Index;HSCI Index
;;;;;;;;;;KOSDAQ Index;KOSDAQ Index
;;;;;;;;;;KRX100 Index;KRX100 Index
;;;;;;;;;;KOSPI Index;KOSPI Index
;;;;;;;;;;KOSPI2 Index;KOSPI2 Index
;;;;;;;;;;KOSPI50 Index;KOSPI50 Index
;;;;;;;;;;KOSTAR Index;KOSTAR Index
;;;;;;;;;;KOSPI100 Index;KOSPI100 Index
;;;;;;;;;;BSE100 Index;BSE100 Index
;;;;;;;;;;SENSEX Index;SENSEX Index
;;;;;;;;;;NZX20 Index;NZX20 Index
;;;;;;;;;;NIFTY Index;NIFTY Index
;;;;;;;;;;BSE500 Index;BSE500 Index
;;;;;;;;;;BSE200 Index;BSE200 Index
;;;;;;;;;;TWSE Index;TWSE Index
;;;;;;;;;;TW50 Index;TW50 Index
;;;;;;;;;;TWOTCI Index;TWOTCI Index
;;;;;;;;;;AS51 Index;AS51 Index
;;;;;;;;;;AS52 Index;AS52 Index
;;;;;;;;;;AS30 Index;AS30 Index
;;;;;;;;;;KSE100 Index;KSE100 Index
;;;;;;;;;;KSE30 Index;KSE30 Index
;;;;;;;;;;KSE Index;KSE Index
;;;;;;;;;;NZSE Index;NZSE Index
;;;;;;;;;;NZSE50FG Index;NZSE50FG Index
;;;;;;;;;;NZSE10 Index;NZSE10 Index
;;;;;;;;;;FBMKLCI Index;FBMKLCI Index
;;;;;;;;;;FBMEMAS Index;FBMEMAS Index
;;;;;;;;;;JCI Index;JCI Index
;;;;;;;;;;LQ45 Index;LQ45 Index
;;;;;;;;;;STI Index;STI Index
;;;;;;;;;;FSTAS Index;FSTAS Index
;;;;;;;;;;SET50 Index;SET50 Index
;;;;;;;;;;SET Index;SET Index
;;;;;;;;;;VHINDEX Index;VHINDEX Index
;;;;;;;;;;VNINDEX Index;VNINDEX Index
;;;;;;;;;;DSEX Index;DSEX Index
;;;;;;;;;;MSETOP Index;MSETOP Index
;;;;;;;;;;LSXC Index;LSXC Index
;;;;;;;;;;PCOMP Index;PCOMP Index
;;;;;;;;;;CSEALL Index;CSEALL Index
